X,Y,GEOID,State,NAME,variable,value,County,inequality,NursePractitioner,medIncome,covid_cases,pcntblackfem,TOT_POP,state_pop,pcnt_pop,tot_nurse,covid_incidence
872696.7305,1094407.437,1001,Alabama,"Autauga County, Alabama",POP,55601,Autauga,5.234597269,3930,59338,152,20.11077225,55533,4887681,0.01136183,45,273.7111267
789798.0859,884520.1102,1003,Alabama,"Baldwin County, Alabama",POP,218022,Baldwin,4.417766679,3930,57588,423,8.998421799,217855,4887681,0.044572262,175,194.1658443
997015.9771,1032942.547,1005,Alabama,"Barbour County, Alabama",POP,24881,Barbour,5.681410019,3930,34382,21,48.28556807,24872,4887681,0.005088712,20,84.43229334
822891.2554,1141583.668,1007,Alabama,"Bibb County, Alabama",POP,22400,Bibb,4.368580511,3930,46064,62,17.31155059,22367,4887681,0.004576199,18,277.1940806
863690.3508,1255730.586,1009,Alabama,"Blount County, Alabama",POP,57840,Blount,4.430262332,3930,50412,109,1.486228525,57771,4887681,0.011819716,46,188.6759793
964069.3458,1055202.014,1011,Alabama,"Bullock County, Alabama",POP,10138,Bullock,7.410195994,3930,29267,33,73.78745419,10174,4887681,0.00208156,8,324.3562021
877745.2684,1007269.723,1013,Alabama,"Butler County, Alabama",POP,19680,Butler,5.423595582,3930,37365,21,46.35401773,19631,4887681,0.004016424,16,106.9736641
933828.94,1239463.847,1015,Alabama,"Calhoun County, Alabama",POP,114277,Calhoun,5.023896449,3930,45400,321,21.85384745,114331,4887681,0.023391666,92,280.7637474
984175.7255,1148714.951,1017,Alabama,"Chambers County, Alabama",POP,33615,Chambers,4.744932135,3930,39917,1035,41.15799692,33600,4887681,0.006874426,27,3080.357143
949221.7052,1286593.486,1019,Alabama,"Cherokee County, Alabama",POP,26032,Cherokee,4.708465031,3930,42132,59,4.073087172,26014,4887681,0.00532236,21,226.8009533
862218.2398,1128451.24,1021,Alabama,"Chilton County, Alabama",POP,44153,Chilton,5.107667948,3930,47547,210,10.4497531,44163,4887681,0.009035573,36,475.5111745
726596.8601,1023551.198,1023,Alabama,"Choctaw County, Alabama",POP,12841,Choctaw,5.86009572,3930,39907,54,43.34909843,12833,4887681,0.002625581,10,420.7901504
770409.0653,988874.0995,1025,Alabama,"Clarke County, Alabama",POP,23920,Clarke,8.46898263,3930,40741,65,45.61681872,23918,4887681,0.004893527,19,271.761853
936643.2334,1183333.117,1027,Alabama,"Clay County, Alabama",POP,13275,Clay,5.079258606,3930,39201,87,14.2920094,13294,4887681,0.002719899,11,654.4305702
963107.9289,1231759.011,1029,Alabama,"Cleburne County, Alabama",POP,14987,Cleburne,4.775680077,3930,46495,102,3.118421053,15010,4887681,0.003070986,12,679.5469687
946791.9037,975172.238,1031,Alabama,"Coffee County, Alabama",POP,51909,Coffee,4.658772634,3930,55122,65,18.21759697,51950,4887681,0.010628762,42,125.120308
743764.9528,1325394.619,1033,Alabama,"Colbert County, Alabama",POP,54762,Colbert,4.758200916,3930,49055,68,16.68468594,55004,4887681,0.011253599,44,123.6273726
851723.7836,968609.2496,1035,Alabama,"Conecuh County, Alabama",POP,12277,Conecuh,4.452203579,3930,32613,17,48.16835542,12292,4887681,0.002514894,10,138.3013342
904833.9317,1142645.647,1037,Alabama,"Coosa County, Alabama",POP,10715,Coosa,4.434364223,3930,42423,82,31.92090395,10643,4887681,0.002177515,9,770.4594569
904873.4616,953593.2077,1039,Alabama,"Covington County, Alabama",POP,36986,Covington,4.916330704,3930,40203,58,13.15582578,36953,4887681,0.007560436,30,156.9561335
912407.9919,1008394.167,1041,Alabama,"Crenshaw County, Alabama",POP,13824,Crenshaw,5.490261031,3930,39057,21,24.34357542,13825,4887681,0.00282854,11,151.8987342
834669.4846,1269854.286,1043,Alabama,"Cullman County, Alabama",POP,83442,Cullman,4.435584708,3930,45796,213,1.175550447,83418,4887681,0.017066989,67,255.340574
981962.4104,982228.1658,1045,Alabama,"Dale County, Alabama",POP,48956,Dale,5.063099359,3930,45309,25,22.08348341,49143,4887681,0.010054461,40,50.87194514
831750.8582,1067048.371,1047,Alabama,"Dallas County, Alabama",POP,38310,Dallas,6.058905571,3930,34035,73,71.62549143,38294,4887681,0.007834799,31,190.630386
927569.9567,1316166.675,1049,Alabama,"DeKalb County, Alabama",POP,71385,DeKalb,4.793618961,3930,39491,130,1.788495772,71407,4887681,0.014609587,57,182.0549806
